asset,size,bytes,exists,reference_count,page_count,surfaces,pages
/assets/products/opensea-generation-03.mp4,511.1 KB,523370,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/opensea-generation-07.mp4,507.8 KB,519980,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/opensea-generation-12.mp4,495.2 KB,507087,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/sogni-brand-grid-video-08-web.mp4,488.9 KB,500615,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/ad-gens-new-28.mp4,488.7 KB,500406,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-generation-05.mp4,485.1 KB,496704,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/opensea-generation-02.mp4,452.4 KB,463295,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/wayve-header-card.webm,441.4 KB,451965,True,2,2,"generated-dist, runtime-js",dist/products/wayve.html; scripts/ui-tweaks.js
/assets/products/ad-gens-new-25.mp4,407.6 KB,417356,True,1,1,live-html,pages/products/darwin.html
/assets/products/sogni-brand-grid-video-07-web.mp4,401.4 KB,411052,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/opensea-generation-11.mp4,388.4 KB,397724,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/ad-gens-new-20.mp4,383.8 KB,393019,True,1,1,live-html,pages/products/darwin.html
/assets/products/ad-gens-new-23.mp4,372.9 KB,381810,True,1,1,live-html,pages/products/darwin.html
/assets/products/sogni-brand-grid-video-09-web.mp4,349.1 KB,357463,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-design-video-4-1.mp4,339.8 KB,347992,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/ad-gens-new-18.mp4,320.2 KB,327925,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-generation-01.mp4,319.6 KB,327266,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/sogni-style-01-web.mp4,315.3 KB,322893,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-14-web.mp4,309.4 KB,316793,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-brand-grid-video-14-web.mp4,301.7 KB,308899,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-brand-grid-video-10-web.mp4,296.5 KB,303592,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-08-web.mp4,289.7 KB,296613,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-15-web.mp4,286.4 KB,293299,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-09-web.mp4,286.3 KB,293188,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-07-web.mp4,282.3 KB,289042,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/opensea-generation-06.mp4,276.0 KB,282672,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/sogni-style-02-web.mp4,275.4 KB,282015,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/ad-gens-new-22.mp4,262.3 KB,268625,True,1,1,live-html,pages/products/darwin.html
/assets/products/sogni-style-06-web.mp4,256.5 KB,262639,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-brand-grid-video-15-web.mp4,253.4 KB,259461,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-03-web.mp4,249.3 KB,255301,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-10-web.mp4,246.1 KB,252028,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-04-web.mp4,238.0 KB,243679,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-05-web.mp4,187.9 KB,192405,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-11-web.mp4,167.8 KB,171860,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/ad-gens-new-12.mp4,144.8 KB,148279,True,1,1,live-html,pages/products/darwin.html
/assets/products/opensea-generation-09.mp4,143.7 KB,147188,True,1,1,live-html,pages/products/opensea-gtm.html
/assets/products/giphy_9x16_ffbf4d_130.webm,141.8 KB,145210,True,4,3,"generated-dist, live-html",dist/products/mango-clips.html; pages/products/dmos-gtm.html; pages/products/mango-clips.html
/assets/products/sogni-brand-grid-video-12-web.mp4,121.6 KB,124499,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-brand-grid-video-06-web.mp4,54.1 KB,55359,True,1,1,live-html,pages/products/sogni-gtm.html
/assets/products/sogni-style-12-web.mp4,27.5 KB,28193,True,1,1,live-html,pages/products/sogni-gtm.html
